Order Number,Line Number,Order Date,Delivery Date,Customer Name,Customer Gender,Customer Country,Customer Age,Store Name,Product Name,Color,Brand,Category,Subcategory,Quantity,Unit Price,Net Price,Unit Cost,Currency Code,Exchange Rate
309601,1,2018-06-23,2018-06-23,Meintje Bartholomeus,Female,Netherlands,59,Contoso Store Friesland,Contoso 4G MP3 Player E400 Orange,Orange,Contoso,Audio,MP4&MP3,9,59.99,59.99,30.58,EUR,0.8585
362606,3,2019-12-05,2019-12-06,Alana Sticht,Female,Australia,34,Online store,Contoso 4G MP3 Player E400 Orange,Orange,Contoso,Audio,MP4&MP3,1,59.99,59.99,30.58,AUD,1.4648
284902,0,2017-10-19,2017-10-22,Lucas Frazer,Male,Australia,60,Online store,Contoso 4GB Flash MP3 Player E401 Blue,Blue,Contoso,Audio,MP4&MP3,1,69.912,60.8234,32.148,AUD,1.2703
297411,1,2018-02-21,2018-02-24,Rowena Steenbergen,Female,Netherlands,75,Online store,Contoso 4GB Flash MP3 Player E401 Black,Black,Contoso,Audio,MP4&MP3,3,69.912,69.912,32.148,EUR,0.8122
282602,2,2017-09-26,2017-09-26,Barbara Wehr,Female,United States,46,Contoso Store Connecticut,Contoso 4GB Flash MP3 Player E401 Black,Black,Contoso,Audio,MP4&MP3,7,69.912,69.912,32.148,USD,1
292008,0,2017-12-29,2017-12-30,Richard Siegfried,Male,United States,27,Online store,Contoso 4GB Flash MP3 Player E401 Silver,Silver,Contoso,Audio,MP4&MP3,3,69.912,62.9208,32.148,USD,1
329607,2,2019-01-09,2019-01-12,Ingrid Don,Female,Netherlands,71,Online store,Contoso 4GB Flash MP3 Player E401 Silver,Silver,Contoso,Audio,MP4&MP3,8,77.68,77.68,35.72,EUR,0.873
297003,6,2018-02-17,2018-02-22,Anna Lehrer,Female,Germany,52,Online store,Contoso 4GB Flash MP3 Player E401 White,White,Contoso,Audio,MP4&MP3,5,69.912,65.7172,32.148,EUR,0.8023
330608,2,2019-01-19,2019-01-21,Lee Dawson,Female,United States,68,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 White,White,Contoso,Audio,MP4&MP3,10,109.95,109.95,50.56,USD,1
345800,1,2019-06-20,2019-06-20,Charles Babb,Male,United States,47,Contoso Store West Virginia,Contoso 8GB Super-Slim MP3/Video Player M800 White,White,Contoso,Audio,MP4&MP3,5,109.95,100.0545,50.56,USD,1
319105,3,2018-09-26,2018-10-02,Elnora Ainsworth,Female,United States,83,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 White,White,Contoso,Audio,MP4&MP3,1,109.95,94.557,50.56,USD,1
292503,0,2018-01-03,2018-01-07,Soren Melanson,Male,France,53,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Red,Contoso,Audio,MP4&MP3,3,98.955,98.955,45.504,EUR,0.8317
269500,4,2017-05-18,2017-05-24,Candido Pisano,Male,Italy,46,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Green,Contoso,Audio,MP4&MP3,3,98.955,85.1013,45.504,EUR,0.8986
274303,0,2017-07-05,2017-07-06,Shannon Wells,Female,United Kingdom,35,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Green,Contoso,Audio,MP4&MP3,3,98.955,98.955,45.504,GBP,0.7744
269502,1,2017-05-18,2017-05-18,Grace Bruce,Female,United Kingdom,55,Contoso Store North Down,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Green,Contoso,Audio,MP4&MP3,2,98.955,98.955,45.504,GBP,0.767
305905,3,2018-05-17,2018-05-22,Dennis Nadel,Male,Germany,50,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Pink,Contoso,Audio,MP4&MP3,2,109.95,97.8555,50.56,EUR,0.8471
323300,2,2018-11-07,2018-11-11,Lucille Hines,Female,United States,77,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Pink,Contoso,Audio,MP4&MP3,2,109.95,101.154,50.56,USD,1
364400,2,2019-12-23,2019-12-27,Mandel Foucault,Male,United States,67,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Pink,Contoso,Audio,MP4&MP3,6,109.95,109.95,50.56,USD,1
340800,1,2019-05-01,2019-05-01,Eugene Munoz,Male,United States,77,Contoso Store Delaware,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Pink,Contoso,Audio,MP4&MP3,3,109.95,97.8555,50.56,USD,1
365504,1,2020-01-03,2020-01-03,Paul Miller,Male,United States,56,Contoso Store Nebraska,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Pink,Contoso,Audio,MP4&MP3,2,109.95,102.2535,50.56,USD,1
330201,0,2019-01-15,2019-01-17,Corrina Elliott,Female,Canada,72,Online store,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Pink,Contoso,Audio,MP4&MP3,2,109.95,98.955,50.56,CAD,1.3265
322201,0,2018-10-27,2018-10-27,Caitlin McIntosh,Female,Australia,83,Contoso Store Victoria,Contoso 8GB MP3 Player new model M820 Black,Black,Contoso,Audio,MP4&MP3,4,134.00,134.00,61.62,AUD,1.4228
269701,1,2017-05-20,2017-05-20,Denise Manes,Female,Canada,83,Contoso Store Newfoundland and Labrador,Contoso 8GB MP3 Player new model M820 Black,Black,Contoso,Audio,MP4&MP3,1,120.60,104.922,55.458,CAD,1.3569
305800,1,2018-05-16,2018-05-19,Aislinn Berns,Female,Netherlands,30,Online store,Contoso 8GB MP3 Player new model M820 Black,Black,Contoso,Audio,MP4&MP3,1,134.00,124.62,61.62,EUR,0.8486
291403,0,2017-12-23,2017-12-23,Georgia Borland,Female,United States,27,Contoso Store South Carolina,Contoso 8GB MP3 Player new model M820 Black,Black,Contoso,Audio,MP4&MP3,1,120.60,108.54,55.458,USD,1
317500,0,2018-09-10,2018-09-10,Nouh Leito,Male,Netherlands,29,Contoso Store Drenthe,Contoso 8GB MP3 Player new model M820 Blue,Blue,Contoso,Audio,MP4&MP3,3,134.00,121.94,61.62,EUR,0.8642
292806,0,2018-01-06,2018-01-06,Birgit Sommer,Female,Germany,30,Contoso Store Freistaat Thüringen,Contoso 8GB MP3 Player new model M820 Yellow,Yellow,Contoso,Audio,MP4&MP3,3,120.60,104.922,55.458,EUR,0.8302
271502,6,2017-06-07,2017-06-07,Manuela Gottlieb,Female,Germany,80,Contoso Store Hessen,Contoso 8GB MP3 Player new model M820 Yellow,Yellow,Contoso,Audio,MP4&MP3,1,120.60,108.54,55.458,EUR,0.8915
319603,1,2018-10-01,2018-10-05,Randall Williams,Male,United States,58,Online store,Contoso 8GB MP3 Player new model M820 Yellow,Yellow,Contoso,Audio,MP4&MP3,8,134.00,117.92,61.62,USD,1
365209,0,2019-12-31,2019-12-31,Nell Rey,Female,United States,21,Contoso Store South Carolina,Contoso 8GB MP3 Player new model M820 Yellow,Yellow,Contoso,Audio,MP4&MP3,3,134.00,125.96,61.62,USD,1
280900,0,2017-09-09,2017-09-12,Luca Jennings,Male,United Kingdom,41,Online store,Contoso 8GB MP3 Player new model M820 White,White,Contoso,Audio,MP4&MP3,3,120.60,110.952,55.458,GBP,0.7568
291110,3,2017-12-20,2017-12-20,Toby Burgess,Male,United Kingdom,19,Contoso Store Blaenau Gwent,Contoso 16GB Mp5 Player M1600 Blue,Blue,Contoso,Audio,MP4&MP3,4,179.91,161.919,82.737,GBP,0.7456
291209,2,2017-12-21,2017-12-21,Pat Aldridge,Male,Canada,77,Contoso Store New Brunswick,Contoso 16GB Mp5 Player M1600 Black,Black,Contoso,Audio,MP4&MP3,7,179.91,179.91,82.737,CAD,1.2804
309408,0,2018-06-21,2018-06-21,Claudia Ackerman,Female,Germany,56,Contoso Store Freie Hansestadt Bremen,Contoso 16GB Mp5 Player M1600 Black,Black,Contoso,Audio,MP4&MP3,2,199.90,177.911,91.93,EUR,0.8667
357705,0,2019-10-17,2019-10-17,Tabor Daigneault,Male,France,35,Contoso Store Corse,Contoso 16GB Mp5 Player M1600 White,White,Contoso,Audio,MP4&MP3,1,199.90,173.913,91.93,EUR,0.8998
321803,2,2018-10-23,2018-10-27,Shannon Worthy,Female,Canada,24,Online store,Contoso 16GB Mp5 Player M1600 Red,Red,Contoso,Audio,MP4&MP3,2,199.90,179.91,91.93,CAD,1.3109
361901,1,2019-11-28,2019-12-01,Gabriele Muench,Female,United States,36,Online store,Contoso 32GB Video MP3 Player M3200 White,White,Contoso,Audio,MP4&MP3,4,255.00,224.40,84.49,USD,1
329605,0,2019-01-09,2019-01-09,Alex Gordon,Male,United States,59,Contoso Store Delaware,Contoso 32GB Video MP3 Player M3200 Red,Red,Contoso,Audio,MP4&MP3,4,255.00,219.30,84.49,USD,1
284408,1,2017-10-14,2017-10-16,Troy Butler,Male,United States,66,Online store,Contoso 32GB Video MP3 Player M3200 Red,Red,Contoso,Audio,MP4&MP3,7,229.50,229.50,76.041,USD,1
288300,1,2017-11-22,2017-11-26,Silke Baumgartner,Female,Germany,38,Online store,Contoso 32GB Video MP3 Player M3200 Orange,Orange,Contoso,Audio,MP4&MP3,1,229.50,229.50,76.041,EUR,0.8511
335203,1,2019-03-06,2019-03-08,Platt Abril,Male,France,28,Online store,Contoso 32GB Video MP3 Player M3200 Orange,Orange,Contoso,Audio,MP4&MP3,4,255.00,255.00,84.49,EUR,0.8846
328203,5,2018-12-26,2018-12-28,Riley Shah,Male,United Kingdom,48,Online store,Contoso 32GB Video MP3 Player M3200 Orange,Orange,Contoso,Audio,MP4&MP3,7,255.00,249.90,84.49,GBP,0.7893
318600,0,2018-09-21,2018-09-26,Millicent George,Female,United States,27,Online store,Contoso 32GB Video MP3 Player M3200 Pink,Pink,Contoso,Audio,MP4&MP3,2,255.00,226.95,84.49,USD,1
335307,3,2019-03-07,2019-03-09,Andrej Mihaljevic,Male,United States,24,Online store,Contoso 32GB Video MP3 Player M3200 Pink,Pink,Contoso,Audio,MP4&MP3,5,255.00,249.90,84.49,USD,1
294802,0,2018-01-26,2018-01-29,Josef Petrák,Male,United States,43,Online store,Contoso 32GB Video MP3 Player M3200 Pink,Pink,Contoso,Audio,MP4&MP3,8,229.50,229.50,76.041,USD,1
345200,2,2019-06-14,2019-06-14,Lukas Ackerman,Male,Germany,71,Contoso Store Freie Hansestadt Bremen,Contoso 4GB Portable MP3 Player M450 Black,Black,Contoso,Audio,MP4&MP3,5,95.95,83.4765,48.92,EUR,0.8877
335802,1,2019-03-12,2019-03-12,Charles Islas,Male,Canada,54,Contoso Store Newfoundland and Labrador,Contoso 4GB Portable MP3 Player M450 Black,Black,Contoso,Audio,MP4&MP3,8,95.95,84.436,48.92,CAD,1.3402
277201,0,2017-08-03,2017-08-06,Yoram Beukhof,Male,Netherlands,76,Online store,Contoso 4GB Portable MP3 Player M450 White,White,Contoso,Audio,MP4&MP3,5,86.355,79.4466,44.028,EUR,0.8432
312804,2,2018-07-25,2018-07-25,Branko Eijsink,Male,Netherlands,39,Contoso Store Friesland,Contoso 4GB Portable MP3 Player M450 White,White,Contoso,Audio,MP4&MP3,2,95.95,95.95,48.92,EUR,0.8554
286702,0,2017-11-06,2017-11-10,Tricia Saiz,Female,United States,80,Online store,Contoso 4GB Portable MP3 Player M450 White,White,Contoso,Audio,MP4&MP3,3,86.355,75.1288,44.028,USD,1
304305,2,2018-05-01,2018-05-05,Maximilian Schultz,Male,Germany,51,Online store,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Silver,Contoso,Audio,MP4&MP3,1,299.23,299.23,99.14,EUR,0.8279
285402,0,2017-10-24,2017-10-24,Rose Adrian,Female,United States,47,Contoso Store Arkansas,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Silver,Contoso,Audio,MP4&MP3,1,269.307,269.307,89.226,USD,1
310109,0,2018-06-28,2018-06-28,Sabine Busch,Female,Germany,46,Contoso Store Freie Hansestadt Bremen,Contoso 8GB Clock & Radio MP3 Player X850 Black,Black,Contoso,Audio,MP4&MP3,3,299.23,257.3378,99.14,EUR,0.8633
334200,2,2019-02-24,2019-02-24,Leo Marsh,Male,United Kingdom,33,Contoso Store Armagh,Contoso 8GB Clock & Radio MP3 Player X850 Black,Black,Contoso,Audio,MP4&MP3,6,299.23,299.23,99.14,GBP,0.7705
328202,0,2018-12-26,2018-12-28,Keira Francis,Female,United Kingdom,25,Online store,Contoso 8GB Clock & Radio MP3 Player X850 Black,Black,Contoso,Audio,MP4&MP3,2,299.23,266.3147,99.14,GBP,0.7893
314502,2,2018-08-11,2018-08-11,Nancy Williams,Female,Canada,43,Contoso Store Nunavut,Contoso 8GB Clock & Radio MP3 Player X850 Green,Green,Contoso,Audio,MP4&MP3,4,299.23,299.23,99.14,CAD,1.3095
279403,0,2017-08-25,2017-08-25,Leon Kuefer,Male,Germany,35,Contoso Store Brandenburg,Contoso 8GB Clock & Radio MP3 Player X850 Green,Green,Contoso,Audio,MP4&MP3,8,269.307,236.9901,89.226,EUR,0.8469
290006,2,2017-12-09,2017-12-09,Laura Sheeley,Female,United States,29,Contoso Store Alaska,Contoso 8GB Clock & Radio MP3 Player X850 Green,Green,Contoso,Audio,MP4&MP3,2,269.307,266.6139,89.226,USD,1
358100,0,2019-10-21,2019-10-23,Margaret Bakker,Female,United States,37,Online store,Contoso 8GB Clock & Radio MP3 Player X850 Green,Green,Contoso,Audio,MP4&MP3,7,299.23,299.23,99.14,USD,1
292816,3,2018-01-06,2018-01-08,Severi Polvi,Male,United States,34,Online store,Contoso 8GB Clock & Radio MP3 Player X850 Green,Green,Contoso,Audio,MP4&MP3,7,269.307,269.307,89.226,USD,1
365100,3,2019-12-30,2019-12-30,Henry Haynes,Male,United States,44,Contoso Store Maine,Contoso 8GB Clock & Radio MP3 Player X850 Blue,Blue,Contoso,Audio,MP4&MP3,5,299.23,299.23,99.14,USD,1
291814,2,2017-12-27,2018-01-02,Franko Miletic,Male,United States,19,Online store,Contoso 16GB New Generation MP5 Player M1650 Silver,Silver,Contoso,Audio,MP4&MP3,1,208.80,192.096,96.021,USD,1
329906,1,2019-01-12,2019-01-13,Ksenija Filipovic,Female,United States,60,Online store,Contoso 16GB New Generation MP5 Player M1650 Silver,Silver,Contoso,Audio,MP4&MP3,2,232.00,229.68,106.69,USD,1
343002,0,2019-05-23,2019-05-25,Amelie Howarth,Female,United Kingdom,40,Online store,Contoso 16GB New Generation MP5 Player M1650 Silver,Silver,Contoso,Audio,MP4&MP3,1,232.00,232.00,106.69,GBP,0.7909
295204,1,2018-01-30,2018-01-30,Rory Mummery,Male,Australia,84,Contoso Store Tasmania,Contoso 16GB New Generation MP5 Player M1650 Silver,Silver,Contoso,Audio,MP4&MP3,3,208.80,206.712,96.021,AUD,1.2354
310700,2,2018-07-04,2018-07-04,Ava Dinah,Female,Australia,66,Contoso Store Western Australia,Contoso 16GB New Generation MP5 Player M1650 White,White,Contoso,Audio,MP4&MP3,3,232.00,206.48,106.69,AUD,1.354
365103,1,2019-12-30,2019-12-30,Antonina Cocci,Female,Italy,79,Contoso Store Pesaro,Contoso 16GB New Generation MP5 Player M1650 Black,Black,Contoso,Audio,MP4&MP3,2,232.00,215.76,106.69,EUR,0.8937
312409,1,2018-07-21,2018-07-24,Jose Clark,Male,United States,66,Online store,Contoso 16GB New Generation MP5 Player M1650 Black,Black,Contoso,Audio,MP4&MP3,2,232.00,208.80,106.69,USD,1
366603,4,2020-01-14,2020-01-14,Matthew Dunavant,Male,United States,51,Contoso Store Hawaii,Contoso 16GB New Generation MP5 Player M1650 blue,blue,Contoso,Audio,MP4&MP3,2,232.00,204.16,106.69,USD,1
315505,1,2018-08-21,2018-08-21,Carlos Chandler,Male,United States,24,Contoso Store Rhode Island,Contoso 16GB New Generation MP5 Player M1650 blue,blue,Contoso,Audio,MP4&MP3,2,232.00,220.40,106.69,USD,1
298003,0,2018-02-27,2018-03-03,Matteüs Tieleman,Male,Netherlands,50,Online store,Contoso 16GB New Generation MP5 Player M1650 blue,blue,Contoso,Audio,MP4&MP3,10,208.80,190.008,96.021,EUR,0.8129
291405,1,2017-12-23,2017-12-26,Tessie Sosa,Female,Canada,80,Online store,Contoso 16GB New Generation MP5 Player M1650 blue,blue,Contoso,Audio,MP4&MP3,4,208.80,185.832,96.021,CAD,1.2703
311006,2,2018-07-07,2018-07-07,Grace Cox,Female,United Kingdom,66,Contoso Store Armagh,Contoso 16GB New Generation MP5 Player M1650 Pink,Pink,Contoso,Audio,MP4&MP3,2,232.00,215.76,106.69,GBP,0.7557
308605,0,2018-06-13,2018-06-16,Freke van Thiel,Female,Netherlands,76,Online store,Contoso 16GB New Generation MP5 Player M1650 Pink,Pink,Contoso,Audio,MP4&MP3,2,232.00,201.84,106.69,EUR,0.8501
365700,0,2020-01-05,2020-01-09,Irene Pisano,Female,Italy,59,Online store,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,2,149.95,134.955,76.45,EUR,0.8971
283603,1,2017-10-06,2017-10-06,Elise Ahmed,Female,United Kingdom,28,Contoso Store Belfast,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,8,134.955,134.955,68.805,GBP,0.7648
296603,1,2018-02-13,2018-02-13,Elizabeth Mertens,Female,Netherlands,55,Contoso Store Flevoland,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,1,134.955,134.955,68.805,EUR,0.8108
356301,1,2019-10-03,2019-10-03,Rae Killgore,Female,Canada,81,Contoso Store New Brunswick,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,4,149.95,149.95,76.45,CAD,1.3338
347703,2,2019-07-09,2019-07-11,Nathan Ling,Male,Australia,68,Online store,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,1,149.95,149.95,76.45,AUD,1.4426
290907,1,2017-12-18,2017-12-19,Michael Marks,Male,Canada,45,Online store,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,4,134.955,134.955,68.805,CAD,1.2874
291712,5,2017-12-26,2017-12-29,James Baxter,Male,United States,82,Online store,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,2,134.955,134.955,68.805,USD,1
327410,0,2018-12-18,2018-12-22,Anna Duerr,Female,Germany,41,Online store,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,4,149.95,149.95,76.45,EUR,0.879
273101,1,2017-06-23,2017-06-23,Melanie Lowe,Female,Germany,42,Contoso Store Mecklenburg-Vorpommern,WWI 1GB Pulse Smart pen E50 White,White,Wide World Importers,Audio,Recording Pen,1,134.955,134.955,68.805,EUR,0.895
333603,0,2019-02-18,2019-02-22,Susan Elliott,Female,United States,43,Online store,WWI 1GBPulse Smart pen E50 Black,Black,Wide World Importers,Audio,Recording Pen,1,149.95,149.95,76.45,USD,1
276002,1,2017-07-22,2017-07-24,Robin Tillison,Female,United States,22,Online store,WWI 1GBPulse Smart pen E50 Black,Black,Wide World Importers,Audio,Recording Pen,6,134.955,134.955,68.805,USD,1
271301,0,2017-06-05,2017-06-07,Anamaria Carroll,Female,United States,81,Online store,WWI 1GBPulse Smart pen E50 Black,Black,Wide World Importers,Audio,Recording Pen,3,134.955,117.4108,68.805,USD,1
307905,3,2018-06-06,2018-06-06,Clarence Dunlap,Male,United States,75,Contoso Store Alaska,WWI 1GBPulse Smart pen E50 Black,Black,Wide World Importers,Audio,Recording Pen,4,149.95,149.95,76.45,USD,1
325303,3,2018-11-27,2018-11-27,Michael Garcia,Male,United States,65,Contoso Store New Hampshire,WWI 1GBPulse Smart pen E50 Black,Black,Wide World Importers,Audio,Recording Pen,2,149.95,149.95,76.45,USD,1
358501,0,2019-10-25,2019-10-25,Benjamin Bishop,Male,United Kingdom,23,Contoso Store Dungannon and South Tyrone,WWI 1GBPulse Smart pen E50 Black,Black,Wide World Importers,Audio,Recording Pen,3,149.95,137.954,76.45,GBP,0.7797
353707,4,2019-09-07,2019-09-07,Toby Stewart,Male,United Kingdom,35,Contoso Store Dungannon and South Tyrone,WWI 1GB Pulse Smart pen E50 Silver,Silver,Wide World Importers,Audio,Recording Pen,3,149.95,130.4565,76.45,GBP,0.8129
371202,1,2020-02-29,2020-02-29,Brock Edden,Male,Australia,75,Contoso Store Tasmania,WWI 1GB Pulse Smart pen E50 Silver,Silver,Wide World Importers,Audio,Recording Pen,3,149.95,148.4505,76.45,AUD,1.5373
